elapsed_s,working_set_mb,private_mb,handles,threads
40,345.3,356.8,6382,242
70,344.9,356.1,6364,238
100,344.9,356.1,6364,238
130,345.1,356.1,6369,238
160,320,356.1,6369,238
190,320,356.1,6365,237
220,320,356,6360,236
250,320,356,6360,236
280,320,356.1,6362,237
310,320.2,356.1,6363,237
340,320.2,356.1,6363,237
370,320.2,356.1,6367,237
400,320.2,356.1,6367,237
430,320.3,356.1,6365,237
460,320.3,356.1,6365,237
490,321,356.6,6365,237
520,321,356.6,6365,237
550,321,356.5,6355,235
580,321,356.6,6357,236
610,321.1,356.6,6361,237
640,321.1,356.6,6361,237
670,321,356.5,6351,234
700,321,356.5,6353,235
730,321,356.6,6359,236
760,321,356.6,6359,236
790,321,356.6,6361,236
821,321,356.6,6357,236
851,321,356.6,6357,236
881,321,356.6,6357,236
911,321,356.5,6356,236
941,321,356.5,6352,235
971,321,356.5,6352,235
1001,321,356.5,6352,235
1031,321,356.5,6352,235
1061,321,356.5,6352,235
1091,321,356.5,6358,236
1121,321,356.5,6358,236
1151,321,356.5,6358,236
1181,321,356.5,6358,236
1211,321,356.5,6352,235
1241,321,356.5,6352,235
1271,321,356.5,6354,235
1301,321,356.5,6356,236
1331,321,356.5,6356,236
1361,321,356.5,6356,236
1391,321,356.5,6358,236
1421,321,356.5,6356,236
1451,321,356.5,6360,236
1481,321,356.5,6360,236
1511,321,356.5,6360,236
1541,321,356.5,6360,236
1571,321,356.5,6358,235
1601,321,356.5,6358,236
1631,321,356.5,6358,236
1661,321,356.5,6358,236
1691,321,356.5,6352,235
1721,321,356.5,6352,235
1751,321,356.5,6352,235
1781,321,356.5,6352,235
1811,321,356.5,6358,236
SOAK DONE 07/05/2026 18:31:42
